Name,DisplayName,Faction,Rarity,AgeYears,Power,Speed,HeightCm,Flavor,PortraitPath,SetIndex,LoreEntryNumber,Ability0Id,Ability0Name,Ability0Text,Ability0Effect,Ability0Attribute,Ability0ParamA,Ability0ParamB,Ability1Id,Ability1Name,Ability1Text,Ability1Effect,Ability1Attribute,Ability1ParamA,Ability1ParamB
FCB_Ancient_Red_Wyrm,Ancient Red Wyrm,Dragonkind,Mythic,11000,108,46,2600,She has slept on the same mountain of gold for nine thousand years.,/Game/Art/Cards/dragonkind/T_FCB_Ancient_Red_Wyrm.T_FCB_Ancient_Red_Wyrm,1,1,EmberFury,Ember Fury,"When Power is contested, add +9.",FlatBonusOnAttribute,Power,9,0,HoardersGreed,Hoarder's Greed,"On a win, also take the top card of the deck.",OnWinTakeDeckTop,Power,0,0
FCB_Cinderwing_Hatchling,Cinderwing Hatchling,Dragonkind,Common,70,24,71,95,"Angry, winged, and already counting your sheep.",/Game/Art/Cards/dragonkind/T_FCB_Cinderwing_Hatchling.T_FCB_Cinderwing_Hatchling,2,2,Slaughtering,Slaughtering,"When Power is contested, add +5.",FlatBonusOnAttribute,Power,5,0,,,,,,,
FCB_Bog_Green_Drake,Bog Green Drake,Dragonkind,Common,44,57,36,340,"Half swamp, half appetite.",/Game/Art/Cards/dragonkind/T_FCB_Bog_Green_Drake.T_FCB_Bog_Green_Drake,3,3,Thickhide,Thick Hide,"While defending, add 8% to the contested attribute.",PercentBonusWhenDefending,Power,8,0,,,,,,,
FCB_Frostfang_Wyrm,Frostfang Wyrm,Dragonkind,Uncommon,320,72,40,520,"It freezes the lake, then sleeps on the ice.",/Game/Art/Cards/dragonkind/T_FCB_Frostfang_Wyrm.T_FCB_Frostfang_Wyrm,4,4,BulwarkOath,Bulwark Oath,"While defending, add 12% to the contested attribute.",PercentBonusWhenDefending,Power,12,0,,,,,,,
FCB_Stormclad_Wyvern,Stormclad Wyvern,Dragonkind,Uncommon,67,52,79,167,Rides the front of every squall the coast fears.,/Game/Art/Cards/dragonkind/T_FCB_Stormclad_Wyvern.T_FCB_Stormclad_Wyvern,5,5,Surefooted,Surefooted,"When Speed is contested, add +5.",FlatBonusOnAttribute,Speed,5,0,,,,,,,
FCB_Mud_Maw_Whelp,Mud-Maw Whelp,Dragonkind,Common,95,26,64,94,A dragon by pedigree. A nuisance by size.,/Game/Art/Cards/dragonkind/T_FCB_Mud_Maw_Whelp.T_FCB_Mud_Maw_Whelp,6,6,,,,,,,,,,,,,,
FCB_Ashmaiden_Drake,Ashmaiden Drake,Dragonkind,Rare,125,68,74,410,"Burns the heretic first, asks the name later.",/Game/Art/Cards/dragonkind/T_FCB_Ashmaiden_Drake.T_FCB_Ashmaiden_Drake,7,7,Stormstride,Stormstride,"When Speed is contested, add +9.",FlatBonusOnAttribute,Speed,9,0,FirstCharge,First Charge,"While leading, add 10% to the contested attribute.",PercentBonusWhenLeading,Power,10,0
FCB_Vermilion_Sky_Tyrant,Vermilion Sky-Tyrant,Dragonkind,Rare,218,74,33,1450,Its shadow is a county's worth of bad weather.,/Game/Art/Cards/dragonkind/T_FCB_Vermilion_Sky_Tyrant.T_FCB_Vermilion_Sky_Tyrant,8,8,TitanGirth,Titan Girth,"When Height is contested, add 14%.",PercentBonusOnAttribute,Height,14,0,,,,,,,
FCB_Hoarder_of_the_Second_Age,Hoarder of the Second Age,Dragonkind,Rare,5400,88,45,1900,"Two ages of tribute, none of it spent.",/Game/Art/Cards/dragonkind/T_FCB_Hoarder_of_the_Second_Age.T_FCB_Hoarder_of_the_Second_Age,9,9,HoardMagic,Hoard-Magic,+2 score per pot card when you claim the pot.,PotScoreBonusOnWin,Power,2,0,EmberFury,Ember Fury,"When Power is contested, add +9.",FlatBonusOnAttribute,Power,9,0
FCB_Elder_Blue_Tempest,Elder Blue Tempest,Dragonkind,Legendary,7200,101,58,2100,Lightning is what it does while thinking.,/Game/Art/Cards/dragonkind/T_FCB_Elder_Blue_Tempest.T_FCB_Elder_Blue_Tempest,10,10,ColossalProwess,Colossal Prowess,"When Power is contested, add 11%.",PercentBonusOnAttribute,Power,11,0,Spellbreak,Spellbreak,The opponent's abilities do nothing this round.,NullifyOpponentAbilities,Power,0,0
FCB_Wyrm_of_the_Broken_Oath,Wyrm of the Broken Oath,Dragonkind,Rare,579,84,29,1750,Cursed to hunt every knight who ever lied to it.,/Game/Art/Cards/dragonkind/T_FCB_Wyrm_of_the_Broken_Oath.T_FCB_Wyrm_of_the_Broken_Oath,11,11,GiantSlayer,Giant-Slayer,+18% when the opponent's Height is above 300 cm.,BonusIfOpponentStatAbove,Height,18,300,CursedRelic,Cursed,Subtract 12% from every attribute.,AlwaysPenalty,Power,-12,0
FCB_Archmage_of_the_Ninth_Spire,Archmage of the Ninth Spire,ArcaneOrders,Legendary,840,95,64,204,"Nine spires, one tenure, zero patience.",/Game/Art/Cards/arcane/T_FCB_Archmage_of_the_Ninth_Spire.T_FCB_Archmage_of_the_Ninth_Spire,1,12,Spellbreak,Spellbreak,The opponent's abilities do nothing this round.,NullifyOpponentAbilities,Power,0,0,FirstCharge,First Charge,"While leading, add 10% to the contested attribute.",PercentBonusWhenLeading,Power,10,0
FCB_Apprentice_of_the_Blue_Order,Apprentice of the Blue Order,ArcaneOrders,Common,101,38,54,197,Borrowed a wand. Will not return it.,/Game/Art/Cards/arcane/T_FCB_Apprentice_of_the_Blue_Order.T_FCB_Apprentice_of_the_Blue_Order,2,13,,,,,,,,,,,,,,
FCB_Hedge_Witch_of_Fenwick,Hedge Witch of Fenwick,ArcaneOrders,Common,157,60,52,209,Her poultices work. Her prices are obscene.,/Game/Art/Cards/arcane/T_FCB_Hedge_Witch_of_Fenwick.T_FCB_Hedge_Witch_of_Fenwick,3,14,DeepRoots,Deep Roots,"When Age is contested, add 15%.",PercentBonusOnAttribute,Age,15,0,,,,,,,
FCB_Clockwork_Familiar,Clockwork Familiar,ArcaneOrders,Uncommon,44,34,76,46,"Wind it, and it files your paperwork.",/Game/Art/Cards/arcane/T_FCB_Clockwork_Familiar.T_FCB_Clockwork_Familiar,4,15,Surefooted,Surefooted,"When Speed is contested, add +5.",FlatBonusOnAttribute,Speed,5,0,,,,,,,
FCB_Chronomancer_of_the_Grey_Hour,Chronomancer of the Grey Hour,ArcaneOrders,Rare,3100,79,57,291,Arrives precisely one minute before you need him.,/Game/Art/Cards/arcane/T_FCB_Chronomancer_of_the_Grey_Hour.T_FCB_Chronomancer_of_the_Grey_Hour,5,16,ElderMemory,Elder Memory,You win ties on Age.,WinsTiesOnAttribute,Age,0,0,DeepRoots,Deep Roots,"When Age is contested, add 15%.",PercentBonusOnAttribute,Age,15,0
FCB_Runescribe_of_the_Fallen_College,Runescribe of the Fallen College,ArcaneOrders,Rare,260,70,58,250,Every glyph is a promise the mountain remembers.,/Game/Art/Cards/arcane/T_FCB_Runescribe_of_the_Fallen_College.T_FCB_Runescribe_of_the_Fallen_College,6,17,BulwarkOath,Bulwark Oath,"While defending, add 12% to the contested attribute.",PercentBonusWhenDefending,Power,12,0,,,,,,,
